1,Absence,Presence
2,Accept,Refuse
3,Accurate,Inaccurate
4,Advantage,Disadvantage
5,Alive,Dead
6,Ancient,Modern
7,Answer,Question
8,Approval,Disapproval
9,Approached,Receded
10,Abundant,Scarce
11,Admit,Deny
12,Advance,Retreat
13,Artificial,Natural
14,Ascend,Descend
15,Attack,Defense
16,Attention,Inattention
17,Asleep,Awake
18,Ally,Enemy
19,Agree,Disagree
20,Beginning,Ending
21,Blunt,Sharp
22,Blame,Praise
23,Bitter,Sweet
24,Borrow,Lend
25,Bravery,Cowardice
26,Broad,Narrow
27,Careful,Rush
28,Calm,Troubled
29,Capable,Incapable
30,Captivity,Freedom
31,Cheap,Dear
32,Clever,Stupid
33,Correct,Incorrect
34,Conceal,Reveal
35,Comfort,Discomfort
36,Courage,Cowardice
37,Cruel,Kind
38,Courteous,Discourteous
39,Cunning,Simple
40,Beautiful,Ugly
41,Dainty,Clumsy
42,Dark,Light
43,Deep,Shallow
44,Decrease,Increase
45,Demand,Supply
46,Despair,Hope
47,Disappear,Appear
48,Dismal,Cheerful
49,Ebb,Flow
50,Encourage,Discourage
51,Entrance,Exit
52,End,Beginning
53,Expand,Contract
54,Expensive,Inexpensive
55,Fail,Succeed
56,Feeble,Sturdy
57,Foolish,Wise
58,Famous,Unknown
59,First,Last
60,Freedom,Captivity
61,Frequent,Seldom
62,Friend,Enemy
63,Fortunate,Unfortunate
64,Frank,Secretive
65,Generous,Mean
66,Gentle,Rough
67,Gloomy,Cheerful
68,Giant,Dwarf
69,Happy,Sad
70,Harmful,Harmless
71,Hasten,Dawdle
72,Hate,Love
73,Healthy,Unhealthy
74,Horizontal,Vertical
75,Hinder,Aid
76,Honest,Dishonest
77,Humble,Proud
78,Hunger,Thirst
79,Immense,Tiny
80,Imprison,Free
81,Inferior,Superior
82,Interior,Exterior
83,Interesting,Uninteresting
84,Intentional,Accidental
85,Justice,Injustice
86,Knowledge,Ignorance
87,Lazy,Industrious
88,Little,Large
89,Lofty,Lowly
90,Misunderstand,Understand
91,Possible,Impossible
92,Prudent,Imprudent
93,Rapid,Slow
94,Rigid,Pliable
95,Satisfactory,Unsatisfactory
96,Scatter,Collect
97,Serious,Trivial
98,Sour,Sweet
99,Sorrow,Joy
100,Strong,Weak
